City,nvarchar(50)
AreaName,nvarchar(50)
LocDed1Building,float
LocLimit1Building,float
BuildingTIV,float
LocDed2Other,float
LocLimit2Other,float
OtherTIV,float
LocDed3Contents,float
LocLimit3Contents,float
ContentsTIV,float
LocDed4BI,float
LocLimit4BI,float
BITIV,float
ConstructionCode,int
Latitude,decimal
OccupancyCode,int
Longitude,decimal
LocNumber,nvarchar(20)
LocDed6All,float
LocLimit6All,float
LayerParticipation,float
CountryCode,char(2)
StreetAddress,nvarchar(100)
ReinsNumber,int
PostalCode,nvarchar(20)
